,question,answer
0,7 ・ 7 か月 健診 の 券 を 失 くし て しまい まし た 。,受診 票 を 再 発行 し ます 。 ( 自治体 の 担当 課 や 子育て センター 等 の 名称 ) へ お 問い合わせ ください 。  お 問い合わせ ( 自治体 の 担当 課 や 子育て センター 等 の 名称 ) ( 電話 番号 )/( 開 庁 時間 )
1,( 自治体 ) は どこ に 相談 すれ ば いい です か ?,LGBT と は セクシャル・マイノリティ 、 性的 少数 者 を 表す 総称 です 。 L ( レズビアン ) は 同性 を 好き に なる 女性 G ( ゲイ ) は 同性 を 好き に なる 男性 B ( バイセクシュアル ) は 性別 に かかわら ず 恋愛 対象 に なる 人 T ( トランスジェンダー ) は 身体 的 な 性別 と 自認 する 性 が 一致 し ない ( 性 別 違和 ) 人 。 性 同一 性 障害 の 人 が 含ま れ ます 。 性 分化 疾患 ( DSD ) など も あり 、 実は から だ の 性 も 単純 に は 二 分 でき ませ ん 。 SOGI ( ソギ ) と 略さ れる 場合 が 増え て い ます 。 SO = Sexual Orientation ( 性 的 指向 ) GI = Gender Identity ( 性 自認 )
2,どう し たら 早く ね て くれる の でしょ う か ?,保健 師 に ご 相談 ください 。 AAA 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 ) BBB 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 )
3,○ ○ 市 の 病院 について 教え て ください 。,○ ○ 市 に は おもちゃ の 病院 は あり ませ ん 。
4,( 当地 当地 グルメ 等 ) について 教え て ください 。,( ご 当地 グルメ 等 の 説明 を 記載 し て ください 。 )
5,乳児 健 診 の 乳児 乳児 の 実施 場所 を 教え て ください 。,乳児 健 診 の 実施 場所 は 、 3 から 4 か月 健 診 は AAA 保健 相談 所 で 実施 し て い ます 。 6 から 7 か月 健 診 、 9 から 10 か月 健 診 は 契約 医療 機関 にて 実施 し て い ます 。  契約 医療 機関 について は こちら ( 自治体 HP 内 関連 ページ の URL )
6,○ ○ 市 の 禁煙 公園 について 教え て ください 。,○ ○ 市 で は 園内 の 受動 喫煙 防止 対策 として 分煙 環境 を 整備 する ため 、 市立 公園 ○ か所 を 、 禁煙 公園 または 分煙 公園 に 指定 し て い ます 。  禁煙 公園 ・ 分 園 公園 一覧 ( 自治体 HP 内 関連 ページ の URL )
7,児童 扶養 手当 受給 者 へ の 優遇 制度 を 教え て ください 。,"児童 手当 は 所得 制限 の ある 制度 です が 、 所得 制限 を 超え た 世帯 に対して は 、 当面 の 間 、 特例 給付 として 中学校 修了 前 まで の お子さま 一 人 につき 月額 5 , 000 円 が 支給 さ れ ます 。  所得 制限 額 の 詳細 は こちら ( 自治体 HP 内 関連 ページ の URL )  お 問い合わせ ( 自治体 の 担当 課 等 の 名称 ) ( 電話 番号 )/( 開 庁 時間 )"
8,( アカウント の 発信 内容 ) について 教え て ください 。,( アカウント の 発信 内容 を 記載 し て ください 。 ) 例 「 この アカウント で は 、 お子様 の 年齢 に 合わせ て 健 診 や 予防 接種 の 情報 を 配信 し たり 、 妊婦 の 方 向け の サービス の 情報 や 保育園 の 入園 に関する 情報 、 子ども に関する イベント 情報 等 を 配信 し て い ます 。 また 子育て に関する お 問い合わせ に対する 自動 応答 サービス も 行っ て い ます 。 」
9,アート スクール について 教え て ください 。,( アート スクール について 記載 し て ください 。 ) 例 「 ○ ○ 子育て 支援 センター の アート スクール で は 、 食 ・ もの づくり ・ 体操 ・ 音楽 ・ 写真 など 、 さまざま な 分野 で 活躍 する クリエーター を 講師 に 迎え 、 多彩 な テーマ で 講座 を 開催 し て い ます 。  詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )」
