,question,answer
0,出産 の 成長 や 出産 の 相談 は どこ に すれ ば いい です か ?,赤ちゃん の 成長 や 性格 、 生活 環境 や 事情 によって 解決 策 が 違い ます 。 保健 師 に ご 相談 ください 。 お話 を 伺っ て 一緒 に 考え ましょ う 。 AAA 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 ) BBB 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 )
1,出産 の 成長 や 出産 の 相談 は どこ に すれ ば いい です か ?,BBB 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 )
2,出産 の 成長 や 出産 の 相談 は どこ に すれ ば いい です か ?,赤ちゃん の 成長 や 性格 、 生活 環境 や 事情 によって 解決 策 が 違い ます 。 保健 師 に ご 相談 ください 。 お話 を 伺っ て 一緒 に 考え ましょ う 。 AAA 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 ) BBB 保健 相談 所 :( 電話 番号 )(○ 時 ○ 分 から ○ 時 ○ 分 )
3,( 自治体 の 古 着 など の 配布 場所 を 教え て ください 。,[UNK] その他 の 配布 場所 等 、 詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
4,( 自治体 の 古 着 など の 配布 場所 を 教え て ください 。,[UNK] その他 の 配布 場所 等 、 詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
5,( 自治体 の 古 着 など の 優遇 広報 ) について 教え て ください 。,( 自治体 の 発行 する 広報 誌 ) は 、 毎月 ○ 回 (○ 日 ・ ○ 日 ) 発行 し 、 市内 全 世帯 に 各戸 配布 し て い ます 。 発行 日 を 過ぎ て も 届か ない 場合 は 、 お手数 です が 、 ( 自治体 の 担当 課 等 ) へ 連絡 し て ください 。 [UNK] お 問い合わせ ( 自治体 の 担当 課 等 の 名称 ) ( 電話 番号 )/( 開 庁 時間 ) [UNK] その他 の 配布 場所 等 、 詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
6,9 ・ 10 か月 健診 の 券 を 失 くし て しまい まし た 。,受診 票 を 再 発行 し ます 。 ( 自治体 の 担当 課 や 子育て センター 等 の 名称 ) へ お 問い合わせ ください 。 [UNK] お 問い合わせ ( 自治体 の 担当 課 や 子育て センター 等 の 名称 ) ( 電話 番号 )/( 開 庁 時間 )
7,9 ・ 10 か月 健診 の 券 を 失 くし て しまい まし た 。,受診 票 を 再 発行 し ます 。 ( 自治体 の 担当 課 や 子育て センター 等 の 名称 ) へ お 問い合わせ ください 。 [UNK] お 問い合わせ ( 自治体 の 担当 課 や 子育て センター 等 の 名称 ) ( 電話 番号 )/( 開 庁 時間 )
8,9 ・ 10 か月 健診 の 券 を 失 くし て しまい まし た 。,受診 票 を 再 発行 し ます 。 ( 自治体 の 担当 課 や 子育て センター 等 の 名称 ) へ お 問い合わせ ください 。 [UNK] お 問い合わせ ( 自治体 の 担当 課 や 子育て センター 等 の 名称 ) ( 電話 番号 )/( 開 庁 時間 )
9,1 歳児 か月 健 診 は 、 保健 頸 着 ま 保健 て しまっ ん 。,1 歳児 健 診 は 保健所 で は 実施 し て い ませ ん 。 ○ ○ 市 で は 、 3 ・ 4 か月 健 診 、 1 歳 6 か月 歯科 健 診 、 3 歳児 健 診 を 無料 で 行っ て い ます 。 また 、 6 ・ 7 か月 健 診 、 9 ・ 10 か月 健 診 、 1 歳 6 か月 健 診 について は 、 受診 票 を 郵送 し て い ます 。 ● ● 県内 ( 1 歳 6 か月 健 診 は ○ ○ 市内 のみ ) の 契約 医療 機関 に 受診 票 を お 持ち ください 。 契約 医療 機関 について は こちら を ご覧 ください 。 ( 自治体 HP 内 関連 ページ の URL )
10,1 歳児 か月 健 診 は 、 保健 頸 着 ま 保健 て しまっ ん 。,1 歳児 健 診 は 保健所 で は 実施 し て い ませ ん 。 ○ ○ 市 で は 、 3 ・ 4 か月 健 診 、 1 歳 6 か月 歯科 健 診 、 3 歳児 健 診 を 無料 で 行っ て い ます 。 また 、 6 ・ 7 か月 健 診 、 9 ・ 10 か月 健 診 、 1 歳 6 か月 健 診 について は 、 受診 票 を 郵送 し て い ます 。 ● ● 県内 ( 1 歳 6 か月 健 診 は ○ ○ 市内 のみ ) の 契約 医療 機関 に 受診 票 を お 持ち ください 。 契約 医療 機関 について は こちら を ご覧 ください 。 ( 自治体 HP 内 関連 ページ の URL )
11,1 歳 6 か月 児 健 診 について 教え て ください 。,1 歳 6 か月 児 健 診 は 母子 保健 法 に 定め られ た 子ども の 定期 健 診 の 一つ です 。 子ども の 発達 の 状況 を 確認 する とともに 、 歯 の 健 診 も 行い ます 。 対象 の 方 に は 1 歳 ○ か月 に 達する 月 の ( 上旬 / 中旬 / 下旬 ) に 通知 さ れ ます 。 [UNK] 詳しく は こちら ( 自治体 HP 内 関連 ページ の URL )
12,3 歳児児 健 診 で 尿 が 取れ ませ ん 。,3 歳児 健 診 で 尿 が 取れ ない 場合 でも 、 健 診 後 、 4 歳 に なる 前日 まで に 健 診 受付 時間 内 に 、 尿 を お 持ち いただけれ ば 追加 で 検査 でき ます 。 お子さん の 成長 に 合わせ て お 持ち ください 。 また 、 健 診 の 朝 の 尿 が 難しい 場合 は 、 健 診 会場 で お 取り いただく こと も でき ます 。
13,3 歳児 診 で 尿 が 取れ ませ ん 。,3 歳児 健 診 で 尿 が 取れ ない 場合 でも 、 健 診 後 、 4 歳 に なる 前日 まで に 健 診 受付 時間 内 に 、 尿 を お 持ち いただけれ ば 追加 で 検査 でき ます 。 お子さん の 成長 に 合わせ て お 持ち ください 。 また 、 健 診 の 朝 の 尿 が 難しい 場合 は 、 健 診 会場 で お 取り いただく こと も でき ます 。
